start_clip_multi,end_clip_multi,clone_lambda_ssim,test_PSNR,test_LPIPS,lambda_dist,gpu_id,psnr,lights_lr,output_folder,test_SSIM,final_lights_lr,lambda_color
1.00E-04,1.00E-04,0.2,23.757383346557617,0.3494163155555725,1.00E-04,3,23.658262928224584,5.00E-03,output/lc1.00E-03_scm1.00E-04_ecm1.00E-04_cls0.2_ld1.00E-04_ll5.00E-03_fll5.00E-03,0.6976420879364014,5.00E-03,1.00E-03
1.00E-04,1.00E-05,0.2,23.666799545288086,0.3498520255088806,1.00E-04,2,23.67680260469032,5.00E-03,output/lc1.00E-04_scm1.00E-04_ecm1.00E-05_cls0.2_ld1.00E-04_ll5.00E-03_fll5.00E-03,0.6982411742210388,5.00E-03,1.00E-04
1.00E-04,5.00E-05,0.2,23.84235382080078,0.35012298822402954,1.00E-04,1,23.767584100316444,5.00E-03,output/lc1.00E-04_scm1.00E-04_ecm5.00E-05_cls0.2_ld1.00E-04_ll5.00E-03_fll5.00E-03,0.6985006928443909,5.00E-03,1.00E-04
1.00E-04,1.00E-04,0.2,23.723989486694336,0.3516460657119751,1.00E-04,0,23.700245677708303,5.00E-03,output/lc1.00E-04_scm1.00E-04_ecm1.00E-04_cls0.2_ld1.00E-04_ll5.00E-03_fll5.00E-03,0.6957170367240906,5.00E-03,1.00E-04
1.00E-04,1.00E-04,0.2,23.915489196777344,0.3445800840854645,1.00E-04,2,23.525256469349717,5.00E-03,output/lc5.00E-02_scm1.00E-04_ecm1.00E-04_cls0.2_ld1.00E-04_ll5.00E-03_fll5.00E-03,0.7023875713348389,5.00E-03,5.00E-02
1.00E-04,1.00E-04,0.2,23.754283905029297,0.351182758808136,1.00E-04,1,23.684933215461804,5.00E-03,output/lc5.00E-03_scm1.00E-04_ecm1.00E-04_cls0.2_ld1.00E-04_ll5.00E-03_fll5.00E-03,0.6966428160667419,5.00E-03,5.00E-03
1.00E-04,1.00E-04,0.2,23.792621612548828,0.3493760824203491,1.00E-04,0,23.61880249075567,5.00E-03,output/lc1.00E-02_scm1.00E-04_ecm1.00E-04_cls0.2_ld1.00E-04_ll5.00E-03_fll5.00E-03,0.6976061463356018,5.00E-03,1.00E-02
1.00E-04,1.00E-04,0.1,23.763734817504883,0.3540692627429962,1.00E-04,3,23.724583455755653,5.00E-03,output/lc1.00E-04_scm1.00E-04_ecm1.00E-04_cls0.1_ld1.00E-04_ll5.00E-03_fll5.00E-03,0.6948100328445435,5.00E-03,1.00E-04
1.00E-04,1.00E-04,0.2,23.925077438354492,0.3445112705230713,1.00E-04,3,23.34283432839011,1.00E-03,output/lc1.00E-04_scm1.00E-04_ecm1.00E-04_cls0.2_ld1.00E-04_ll1.00E-03_fll5.00E-03,0.7025325298309326,5.00E-03,1.00E-04
1.00E-04,1.00E-04,0.3,23.873981475830078,0.34528931975364685,1.00E-04,0,23.70867042221884,5.00E-03,output/lc1.00E-04_scm1.00E-04_ecm1.00E-04_cls0.3_ld1.00E-04_ll5.00E-03_fll5.00E-03,0.7005904912948608,5.00E-03,1.00E-04
1.00E-04,1.00E-04,0.2,23.746253967285156,0.3542446196079254,5.00E-05,1,23.689917263331058,5.00E-03,output/lc1.00E-04_scm1.00E-04_ecm1.00E-04_cls0.2_ld5.00E-05_ll5.00E-03_fll5.00E-03,0.693861186504364,5.00E-03,1.00E-04
1.00E-04,1.00E-04,0.2,23.67068862915039,0.3581427335739136,1.00E-05,2,23.76767519707848,5.00E-03,output/lc1.00E-04_scm1.00E-04_ecm1.00E-04_cls0.2_ld1.00E-05_ll5.00E-03_fll5.00E-03,0.6928648948669434,5.00E-03,1.00E-04
1.00E-04,1.00E-04,0.2,23.830360412597656,0.3503699004650116,1.00E-04,1,23.688426120427433,5.00E-03,output/lc1.00E-04_scm1.00E-04_ecm1.00E-04_cls0.2_ld1.00E-04_ll5.00E-03_fll5.00E-04,0.6972423791885376,5.00E-04,1.00E-04
1.00E-04,1.00E-04,0.2,23.320512771606445,0.3601219654083252,1.00E-04,0,23.737219256942225,1.00E-02,output/lc1.00E-04_scm1.00E-04_ecm1.00E-04_cls0.2_ld1.00E-04_ll1.00E-02_fll5.00E-03,0.6890596151351929,5.00E-03,1.00E-04
