lambda_noise,psnr,test_PSNR,output_folder,test_SSIM,gpu_id,test_LPIPS,lambda_dist,clip_multi
5.00E+09,23.512065347878792,23.60931396484375,output/cm5.00E-04_ld1.00E-03_ln5.00E+09,0.6975454688072205,3,0.34391358494758606,1.00E-03,5.00E-04
5.00E+09,23.45436939247963,23.392152786254883,output/cm1.00E-03_ld1.00E-03_ln5.00E+09,0.6900286674499512,2,0.35276710987091064,1.00E-03,1.00E-03
5.00E+09,23.264165260224654,23.5037899017334,output/cm5.00E-03_ld1.00E-03_ln5.00E+09,0.6766111850738525,1,0.3664819300174713,1.00E-03,5.00E-03
5.00E+09,23.20236234532084,23.427104949951172,output/cm1.00E-02_ld1.00E-03_ln5.00E+09,0.6703140735626221,0,0.37252137064933777,1.00E-03,1.00E-02
5.00E+09,23.69499416258677,23.962705612182617,output/cm1.00E-04_ld1.00E-03_ln5.00E+09,0.7055238485336304,0,0.33685898780822754,1.00E-03,1.00E-04
5.00E+09,23.459111982736136,23.7122859954834,output/cm1.00E-03_ld1.00E-04_ln5.00E+09,0.685417890548706,2,0.3623102307319641,1.00E-04,1.00E-03
5.00E+09,23.454119986083736,23.661731719970703,output/cm1.00E-03_ld5.00E-04_ln5.00E+09,0.6889669895172119,3,0.35591888427734375,5.00E-04,1.00E-03
5.00E+09,22.910340450045084,23.624326705932617,output/cm1.00E-03_ld5.00E-03_ln5.00E+09,0.6895278692245483,1,0.343204140663147,5.00E-03,1.00E-03
1.00E+09,23.52131588887133,23.676206588745117,output/cm1.00E-03_ld1.00E-03_ln1.00E+09,0.6910315752029419,0,0.3504636287689209,1.00E-03,1.00E-03
1.00E+10,23.389611270166526,23.71957778930664,output/cm1.00E-03_ld1.00E-03_ln1.00E+10,0.6917667388916016,1,0.349727064371109,1.00E-03,1.00E-03
5.00E+08,23.446584928481446,23.737295150756836,output/cm1.00E-03_ld1.00E-03_ln5.00E+08,0.6916874647140503,2,0.35084232687950134,1.00E-03,1.00E-03
