final_network_lr,test_LPIPS,gpu_id,final_encoding_lr,network_lr,encoding_lr,test_PSNR,output_folder,psnr,test_SSIM
1.00E-03,0.24542801082134247,0,6.00E-03,1.00E-03,6.00E-03,25.378387451171875,output/el6.00E-03_fel6.00E-03_nl1.00E-03_fnl1.00E-03,25.470398620316892,0.7972180843353271
5.00E-04,0.24797900021076202,0,6.00E-03,5.00E-04,6.00E-03,25.288732528686523,output/el6.00E-03_fel6.00E-03_nl5.00E-04_fnl5.00E-04,25.916962422908373,0.7956345677375793
1.00E-04,0.2457946538925171,0,6.00E-03,1.00E-04,6.00E-03,25.21361541748047,output/el6.00E-03_fel6.00E-03_nl1.00E-04_fnl1.00E-04,26.08454186153096,0.7933683395385742
1.00E-03,0.24674759805202484,0,3.00E-03,1.00E-03,3.00E-03,25.17779541015625,output/el3.00E-03_fel3.00E-03_nl1.00E-03_fnl1.00E-03,25.834084621901034,0.7935592532157898
1.00E-03,0.2514021098613739,0,1.00E-03,1.00E-03,1.00E-03,25.403417587280273,output/el1.00E-03_fel1.00E-03_nl1.00E-03_fnl1.00E-03,25.88476315940373,0.7889862060546875
1.00E-03,0.2648526132106781,0,5.00E-04,1.00E-03,5.00E-04,24.44389533996582,output/el5.00E-04_fel5.00E-04_nl1.00E-03_fnl1.00E-03,25.545662850616566,0.779639720916748
output_folder,test_LPIPS,test_PSNR,final_network_lr,final_encoding_lr,gpu_id,network_lr,test_SSIM,encoding_lr,psnr
output/el6.00E-03_fel6.00E-03_nl5.00E-05_fnl5.00E-05,0.28712865710258484,25.32593536376953,5.00E-05,6.00E-03,3,5.00E-05,0.7771230340003967,6.00E-03,26.21719291724518
output/el6.00E-03_fel6.00E-03_nl5.00E-04_fnl5.00E-04,0.2371915578842163,25.55827522277832,5.00E-04,6.00E-03,1,5.00E-04,0.8043620586395264,6.00E-03,26.40022516658182
output/el6.00E-03_fel6.00E-03_nl1.00E-04_fnl1.00E-04,0.23629344999790192,25.854385375976562,1.00E-04,6.00E-03,2,1.00E-04,0.8055334091186523,6.00E-03,26.65153192523848
output/el6.00E-03_fel6.00E-03_nl1.00E-03_fnl1.00E-03,0.22204886376857758,25.930795669555664,1.00E-03,6.00E-03,0,1.00E-03,0.8081172108650208,6.00E-03,26.70260436245631
output/el3.00E-03_fel3.00E-03_nl1.00E-03_fnl1.00E-03,0.22564689815044403,25.746591567993164,1.00E-03,3.00E-03,0,1.00E-03,0.8051299452781677,3.00E-03,26.678950244993864
output/el1.00E-03_fel1.00E-03_nl1.00E-03_fnl1.00E-03,0.24243326485157013,25.28352928161621,1.00E-03,1.00E-03,1,1.00E-03,0.7984932065010071,1.00E-03,26.53410442477654
output/el5.00E-04_fel5.00E-04_nl1.00E-03_fnl1.00E-03,0.23764051496982574,25.59467887878418,1.00E-03,5.00E-04,2,1.00E-03,0.7979962229728699,5.00E-04,26.575310914266858
output/el2.50E-04_fel2.50E-04_nl1.00E-03_fnl1.00E-03,0.2512815594673157,25.591493606567383,1.00E-03,2.50E-04,3,1.00E-03,0.7929914593696594,2.50E-04,26.1339507035121
