train_SSIM,train_PSNR,output_folder,test_PSNR,gpu_id,test_SSIM,psnr,train_LPIPS,lambda_alpha,test_LPIPS,lambda_noise
0.7284247279167175,23.772756576538086,output/ln50_la0,23.828935623168945,3,0.6699281930923462,23.569906901916074,0.35724854469299316,0,0.3873637914657593,50
0.7299220561981201,23.777639389038086,output/ln25_la0,23.850919723510742,2,0.6720867156982422,23.587040013747515,0.35678574442863464,0,0.3850683867931366,25
0.7293098568916321,23.77550506591797,output/ln10_la0,23.850744247436523,1,0.6703094244003296,23.564107315284524,0.35556530952453613,0,0.38629138469696045,10
0.7318252921104431,23.815637588500977,output/ln5_la0,23.883380889892578,0,0.6729081869125366,23.600598972658506,0.35403263568878174,0,0.38452982902526855,5
0.7297307848930359,23.81256866455078,output/ln25_la1.00E-05,23.884109497070312,3,0.6708829402923584,23.563872484398544,0.35637202858924866,1.00E-05,0.3861696720123291,25
0.7309061884880066,23.775184631347656,output/ln10_la1.00E-05,23.823631286621094,2,0.6720890998840332,23.591329082594918,0.35618269443511963,1.00E-05,0.3861656188964844,10
0.7312131524085999,23.806943893432617,output/ln5_la1.00E-05,23.882410049438477,1,0.6715512871742249,23.601258145050494,0.3547118008136749,1.00E-05,0.38446754217147827,5
0.7232873439788818,23.677053451538086,output/ln100_la0,23.784223556518555,0,0.6661956906318665,23.485446604470468,0.3640126585960388,0,0.39274826645851135,100
0.7303768992424011,23.794233322143555,output/ln5_la1.00E-04,23.859548568725586,2,0.6707136034965515,23.597764360243126,0.35667943954467773,1.00E-04,0.38541436195373535,5
0.7285200357437134,23.80223846435547,output/ln50_la1.00E-05,23.882339477539062,0,0.6702919602394104,23.568646506735064,0.35812875628471375,1.00E-05,0.38712647557258606,50
0.7306530475616455,23.788679122924805,output/ln10_la1.00E-04,23.888988494873047,3,0.6722080111503601,23.559638708482847,0.35552695393562317,1.00E-04,0.38518115878105164,10
0.7241281270980835,23.696643829345703,output/ln100_la1.00E-05,23.76980209350586,1,0.6656945943832397,23.473106057865067,0.3620091378688812,1.00E-05,0.3922237157821655,100
0.7296311259269714,23.785858154296875,output/ln25_la1.00E-04,23.854806900024414,0,0.6708009243011475,23.59373498771041,0.3559510409832001,1.00E-04,0.38519981503486633,25
0.7278386354446411,23.779678344726562,output/ln50_la1.00E-04,23.857135772705078,1,0.6695638298988342,23.556712191098814,0.35891392827033997,1.00E-04,0.3877181112766266,50
0.7244987487792969,23.668642044067383,output/ln100_la1.00E-04,23.772789001464844,2,0.6667382717132568,23.5014774865641,0.3611328899860382,1.00E-04,0.3921833038330078,100
